image_id,xai_method,baseline,curve,auc,target_class,fractions,probabilities,actual_backend
005c597a68451ce3ebccfec40facb5cc8639e2d98ceb3543f1a2a934c86843b8,integrated_gradients,blur,deletion,0.9438988983631136,0,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.9999719858169556, 0.9999829530715942, 0.9999922513961792, 0.9999908208847046, 0.9999963045120239, 0.9999878406524658, 0.9999197721481323, 0.9999662637710571, 0.9983017444610596, 0.6432332992553711, 0.5952635407447815]",cuda
005c597a68451ce3ebccfec40facb5cc8639e2d98ceb3543f1a2a934c86843b8,integrated_gradients,blur,insertion,0.8493138909339903,0,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.5952635407447815, 0.3916453719139099, 0.32752272486686707, 0.994823694229126, 0.9944531321525574, 0.9902528524398804, 0.9981714487075806, 0.9986928105354309, 0.9999864101409912, 0.9999727010726929, 0.9999719858169556]",cuda
0152661d0be1854537b719176f968a1c4c87f57b65a0127b574fd6f7e4dc0362,gradcam,mean,deletion,0.6972069282084704,0,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.9804722666740417, 0.7959175705909729, 0.8343071341514587, 0.870573878288269, 0.9657372236251831, 0.9411826133728027, 0.8865047693252563, 0.6114640235900879, 0.08776585757732391, 0.0018902941374108195, 0.9729796051979065]",cuda
0152661d0be1854537b719176f968a1c4c87f57b65a0127b574fd6f7e4dc0362,gradcam,mean,insertion,0.7538068890571593,0,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.9729796051979065, 0.19074811041355133, 0.34632742404937744, 0.4455716609954834, 0.9053661823272705, 0.9872943758964539, 0.9697440266609192, 0.9633683562278748, 0.9350921511650085, 0.8178305625915527, 0.9804722666740417]",cuda
0152661d0be1854537b719176f968a1c4c87f57b65a0127b574fd6f7e4dc0362,gradcam,blur,deletion,0.8511788547039032,0,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.9804722666740417, 0.965043842792511, 0.9414496421813965, 0.7159305214881897, 0.8455823063850403, 0.8549988865852356, 0.8185177445411682, 0.9828183054924011, 0.9405156970024109, 0.7941464781761169, 0.3250981569290161]",cuda
0152661d0be1854537b719176f968a1c4c87f57b65a0127b574fd6f7e4dc0362,gradcam,blur,insertion,0.8246598094701767,0,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.3250981569290161, 0.24326388537883759, 0.9691647887229919, 0.9067833423614502, 0.9248247146606445, 0.9288319945335388, 0.7970771193504333, 0.8547168374061584, 0.9942114949226379, 0.9749386310577393, 0.9804722666740417]",cuda
0152661d0be1854537b719176f968a1c4c87f57b65a0127b574fd6f7e4dc0362,integrated_gradients,mean,deletion,0.6821858346462248,0,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.9804722666740417, 0.9728924036026001, 0.9863249659538269, 0.8612316250801086, 0.872446596622467, 0.6890975832939148, 0.2703614830970764, 0.18328507244586945, 0.4385102391242981, 0.5709825158119202, 0.9729796051979065]",cuda
0152661d0be1854537b719176f968a1c4c87f57b65a0127b574fd6f7e4dc0362,integrated_gradients,mean,insertion,0.8369041323661804,0,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.9729796051979065, 0.23542802035808563, 0.6007158160209656, 0.871189534664154, 0.9816789031028748, 0.8784883618354797, 0.9666533470153809, 0.9880496859550476, 0.9456604719161987, 0.9244512915611267, 0.9804722666740417]",cuda
0152661d0be1854537b719176f968a1c4c87f57b65a0127b574fd6f7e4dc0362,integrated_gradients,blur,deletion,0.8519766479730606,0,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.9804722666740417, 0.9981793165206909, 0.9991025924682617, 0.9994907379150391, 0.9970002770423889, 0.9880936741828918, 0.7859773635864258, 0.8413666486740112, 0.6183542609214783, 0.639416515827179, 0.3250981569290161]",cuda
0152661d0be1854537b719176f968a1c4c87f57b65a0127b574fd6f7e4dc0362,integrated_gradients,blur,insertion,0.8747550755739212,0,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.3250981569290161, 0.3064832091331482, 0.8258801102638245, 0.9990022778511047, 0.9968618154525757, 0.9925268888473511, 0.9979774355888367, 0.9990623593330383, 0.9992614388465881, 0.9777100086212158, 0.9804722666740417]",cuda
